,crimerate,is_crimerate,is_hero,lat,long,name,year
41,391.43,1,0,30.267153,-97.7430608,Austin,1977
42,623.29,1,0,39.4647665,-76.7336521,Baltimore County,1977
43,623.29,1,0,37.0402828,-95.6398724,MD,1977
44,1521.34,1,0,36.11300500000001,-95.97542899999999,MA,1977
45,949.8,1,0,42.88644679999999,-78.8783689,Buffalo,1977
46,855.84,1,0,35.2270869,-80.8431267,Charlotte,1977
47,855.84,1,0,35.7595731,-79.01929969999999,NC,1977
48,935.37,1,0,40.6331249,-89.3985283,IL,1977
49,811.71,1,0,39.1031182,-84.5120196,Cincinnati,1977
50,811.71,1,0,40.4172871,-82.90712300000001,OH,1977
51,569.27,1,0,39.9611755,-82.99879419999999,Columbus,1977
52,1018.54,1,0,32.7766642,-96.79698789999999,Dallas,1977
53,162.48,1,0,38.9085472,-77.2405153,Fairfax County,1977
54,162.48,1,0,37.3664814,-95.2644709,VA,1977
55,668.62,1,0,32.7554883,-97.3307658,Fort Worth,1977
56,916.06,1,0,36.7377981,-119.7871247,Fresno,1977
57,576.71,1,0,29.7604267,-95.3698028,Houston,1977
58,743.61,1,0,39.768403,-86.158068,Indianapolis,1977
59,788.92,1,0,30.3321838,-81.65565099999999,Jacksonville,1977
60,788.92,1,0,27.6648274,-81.5157535,FL,1977
61,1141.34,1,0,39.0997265,-94.5785667,Kansas City,1977
62,1141.34,1,0,37.9642529,-91.8318334,MO,1977
63,1018.0,1,0,34.0522265,-118.2436596,Los Angeles County,1977
64,0.0,1,0,38.2526647,-85.7584557,Louisville,1977
65,0.0,1,0,37.8393332,-84.2700179,KY,1977
66,784.08,1,0,35.1495343,-90.0489801,Memphis,1977
67,784.08,1,0,35.5174913,-86.5804473,TN,1977
68,330.76,1,0,33.4151843,-111.8314724,Mesa,1977
69,330.76,1,0,34.0489281,-111.0937311,AZ,1977
70,1094.91,1,0,25.5516034,-80.6326916,Dade County,1977
71,395.79,1,0,43.7844397,-88.7878678,WI,1977
72,801.96,1,0,44.977753,-93.2650108,Minneapolis,1977
73,801.96,1,0,46.729553,-94.6858998,MN,1977
74,186.56,1,0,39.1547426,-77.2405153,Montgomery County,1977
75,647.63,1,0,36.1626638,-86.7816016,Nashville,1977
76,101.25,1,0,40.6546145,-73.55941279999999,Nassau County,1977
77,1698.97,1,0,37.8043514,-122.2711639,Oakland,1977
78,721.42,1,0,35.4675602,-97.5164276,Oklahoma City,1977
79,522.22,1,0,41.2565369,-95.9345034,Omaha,1977
80,522.22,1,0,41.4925374,-99.9018131,NE,1977
81,965.58,1,0,28.5383355,-81.3792365,Orlando,1977
82,634.82,1,0,41.2033216,-77.1945247,PA,1977
83,676.84,1,0,38.78492110000001,-76.8720961,Prince George's County,1977
84,373.59,1,0,35.7795897,-78.6381787,Raleigh,1977
85,1099.09,1,0,38.5815719,-121.4943996,Sacramento,1977
86,590.71,1,0,40.7607793,-111.8910474,Salt Lake City,1977
87,491.35,1,0,29.4241219,-98.49362819999999,San Antonio,1977
88,469.82,1,0,37.3382082,-121.8863286,San Jose,1977
89,831.2,1,0,47.7510741,-120.7401385,WA,1977
90,1899.39,1,0,38.6270025,-90.19940419999999,St. Louis,1977
91,178.98,1,0,40.9848784,-72.61511689999999,Suffolk County,1977
92,1205.97,1,0,27.950575,-82.4571776,Tampa,1977
93,514.85,1,0,32.2226066,-110.9747108,Tucson,1977
94,196.75,1,0,36.8529263,-75.97798499999999,Virginia Beach,1977
95,1426.52,1,0,38.9071923,-77.0368707,DC,1977
96,533.75,1,0,37.68717609999999,-97.33005299999999,Wichita,1977
97,533.75,1,0,39.011902,-98.4842465,KS,1977
0,,0,1,40.7127753,-74.0059728,Firestorm,1978
1,,0,1,41.2033216,-77.1945247,Firestorm,1978
2,,0,1,42.331427,-83.0457538,Firestorm,1978
3,,0,1,44.3148443,-85.60236429999999,Firestorm,1978
4,,0,1,40.460104,-86.94169199999999,Firestorm,1978
